DevelopmentName,RecordId,FB-ID,ProductType,Latitude,Longitude
Albert Court,a1s0O000002z4uRQAQ,,Retirement Living Plus,51.5275516,-0.8954417
"Aldridge, Little Aston Road",a1s3X000002XVJfQAO,,Retirement Living Plus,52.60492,-1.9142
Alney House,a1s0O000002z584QAA,,Retirement Living Plus,52.53557,-1.39167
Alton Police Station,a1s3X000002XLGQQA4,,Retirement Living,51.15143,-0.97146
Alvechurchh,a1s0O000002z5A2QAI,,Retirement Living,52.3384,-2.05641
"Andover, River Way RLP",a1s3X000002XVJtQAO,,Retirement Living Plus,51.21823,-1.47442
Andrews Court,a1s0O000002z572QAA,,Lifestyle Living,53.851595,-0.445876
Arundel,a1s3X000002XO3jQAG,,Retirement Living,50.85243,-0.55558
Arundel,a1s3X0000048EKCQA2,,Retirement Living,50.85243,-0.55558
"Ashbourne, Mayfield Road",a1s0O0000039gXbQAI,,Retirement Living,53.01313,-1.74263
"Ashbourne, Mayfield Road Bungalows",a1s0O0000039gXcQAI,,Retirement Living,53.01313,-1.74263
Ashbrae,a1s0O000002z56yQAA,,Lifestyle Living,55.77464,-4.33011
Atwood House,a1s0O000002z4uGQAQ,,Retirement Living,51.3376,-0.0742
Augustus House,a1s0O0000030aOkQAI,,Retirement Living Plus,51.4013,-0.5634
Austen Place,a1s0O000002z4uvQAA,,Retirement Living Plus,51.147127,-0.972847
Aylesbury,a1s3X000002XLFUQA4,,Retirement Living Plus,51.81685,-0.80069
Bagshot,a1s0O000002mVqEQAU,,Retirement Living Plus,51.362696,-0.692427
Baldock,a1s3X000002XXyiQAG,,Retirement Living Plus,51.99128,-0.19259
Balshaw Court,a1s0O000002z5DPQAY,,Retirement Living Plus,53.68997,-2.68924
Bamford,a1s3X000002sUW1QAM,,Retirement Living,53.61061,-2.19688
Banstead,a1s0O000002z57AQAQ,,Retirement Living,51.3226,-0.2065
Beck House,a1s0O000002z579QAA,,Retirement Living,51.4680513,-0.3292033
Beckett Grange,a1s0O000002z578QAA,,Retirement Living,53.55569,-1.48512
Belper,a1s0O000003CPxTQAW,,Retirement Living Plus,53.02325,-1.48643
"Beverley, Westwood Park",a1s3X000002GqoAQAS,,Retirement Living Plus,53.84654,-0.44083
Billericay AL,a1s0O000002z57EQAQ,,Retirement Living Plus,51.6232853,0.4065279
Billericay RL,a1s0O000002z57FQAQ,,Retirement Living,51.6232853,0.4065279
Bingley RP,a1s0O000002z573QAA,,Retirement Living Plus,53.86364,-1.84801
Birch Place,a1s0O000002z4ucQAA,,Retirement Living Plus,51.3691097,-0.804286
Bishops Stortford,a1s3X000002XLGCQA4,,Retirement Living,51.86746,0.16045
"Blandford Brewery, Blandford",a1s3X000002XcVrQAK,,Retirement Living,50.85213,-2.16447
Blandford St Mary,a1s3X000002XVJuQAO,,Retirement Living,50.8467,-2.15658
Bodmin,a1s3X000002Xe4KQAS,,Retirement Living,50.47099,-4.71628
Bookham,a1s0O000002z56eQAA,,Lifestyle Living,51.2802886,-0.3591386
Bowdon,a1s3X000002sfcHQAQ,,Retirement Living Plus,53.37639,-2.3545
Bowes Lyon Court,a1s0O000002z5JUQAY,,Retirement Living Plus,50.71503,-2.465611
Bradley Stoke,a1s0O000002z56hQAA,,Retirement Living Plus,51.54008,-2.5533
Bramhall,a1s3X000002sfc7QAA,,Retirement Living,53.35967,-2.1647
Bramhall,a1s0O000002z56gQAA,,Retirement Living,53.36056,-2.1671299
Brideoake Court,a1s0O000002z5BJQAY,,Retirement Living,53.5850801,-2.661915
Brigg Court,a1s0O000002z5B3QAI,,Retirement Living,54.2147815,-0.289023
Brindley Gardens,a1s0O000002z4v3QAA,,Retirement Living,52.62645,-2.18053
Broadstairs,a1s3X000002XShiQAG,,Retirement Living,51.3598,1.41907
Buckhurst Hill AL,a1s0O000002z56WQAQ,,Retirement Living Plus,51.63237,0.04208
Bucklands,a1s0O000002z4m9QAA,,Retirement Living,51.4316654,-2.7585307
Burgh Heath,a1s0O000002z56ZQAQ,,Retirement Living,51.3121543,-0.2215035
Burrstone Grange,a1s0O000002z4ulQAA,,Retirement Living,53.88544,-3.01548
Butterworth Grange,a1s0O000002z56bQAA,,Retirement Living,53.6139208,-2.2086311
Caerphilly,a1s0O000002z56YQAQ,,Retirement Living,51.5693893,-3.2189672
Caldicot,a1s0O000002oQ21QAE,,Retirement Living,51.59082,-2.75323
"Campbell House, Weybridge",a1s0O000002z57bQAA,,Retirement Living Plus,51.3679,-0.4458
Canford Cliffs,a1s3X000002XLF3QAO,,Retirement Living Plus,50.70505,-1.92483
Canning Place,a1s0O000002z4uwQAA,,Retirement Living,51.415518,-1.732067
Canterbury,a1s0O000002z59yQAA,,Retirement Living Plus,51.2736684,1.0899524
Casterbridge Court,a1s0O000002z5AkQAI,,Retirement Living,50.7157673,-2.4293708
Castle Gate,a1s0O000002z5A9QAI,,Retirement Living,51.072392,-1.795545
Centennial Place,a1s0O000002z5DRQAY,,Retirement Living,53.30252,-2.40257
Chantry Gardens,a1s0O000002z5B4QAI,,Retirement Living,54.2154509,-0.2881264
Charlton Hayes AL,a1s0O000002z5DwQAI,,Retirement Living Plus,51.52747,-2.57384
Chesterfield RLP,a1s0O000002z5AEQAY,,Retirement Living Plus,53.238032,-1.432565
Chesterton Court,a1s0O000002z4v7QAA,,Retirement Living Plus,53.92505,-1.82069
Chichester,a1s3X000002XShmQAG,,Retirement Living Plus,50.84986,-0.76999
Chiltern Place,a1s0O000002z5AFQAY,,Retirement Living Plus,51.6659,-0.6134
Chingford,a1s0O000002z5AGQAY,,Retirement Living,51.63235,0.01272
Chipstead,a1s0O000002z5AHQAY,,Retirement Living,51.3127,-0.1686
"Christchurch, Bridge Street",a1s3X000002XVJmQAO,,Retirement Living Plus,50.73454,-1.77195
"Christchurch, Bridge Street",a1s3X000002XVJrQAO,,Retirement Living,50.73454,-1.77195
"Church Lane, Neston",a1s3X000002XLF8QAO,,Retirement Living,53.28705,-3.06316
"CIRENCESTER ROAD, CHELTENHAM",a1s3X000002XVJdQAO,,Retirement Living Plus,51.87615,-2.0535
Clarendon House,a1s0O000002z5AKQAY,,Retirement Living,50.717442,-1.908152
Clemens Place,a1s0O000002z59xQAA,,Retirement Living,52.031599,-0.497964
Clevedon,a1s0O000002z5AMQAY,,Retirement Living Plus,51.4289685,-2.8534068
Clock Gardens,a1s0O000002z4vFQAQ,,Lifestyle Living,52.60102,-2.1662499
Colchester RL,a1s0O000002z5AUQAY,,Retirement Living,51.88336,0.8914
Crocus Court,a1s0O000002z4vJQAQ,,Retirement Living Plus,53.84844,-2.98715
Crowborough,a1s0O000002z5AcQAI,,Retirement Living,51.05854,0.16601
Cullompton,a1s3X000002sfcIQAQ,,Retirement Living,50.86157,-3.3927
Daventry,a1s0O000002z5AZQAY,,Retirement Living,52.25631,-1.16753
Dawson Grange,a1s0O000002z5DIQAY,,Retirement Living,54.13901,-1.52427
Deans Park Court,a1s0O000002z5AfQAI,,Retirement Living Plus,52.80254,-2.12785
Devonshire Place,a1s0O000002z56cQAA,,Retirement Living Plus,53.26047,-1.91172
Didsbury,a1s3X000002sfcKQAQ,,Retirement Living,53.4183,-2.24051
"Dover, Charlton Green",a1s0O000002z5AjQAI,,Retirement Living Plus,51.132341,1.307012
East Grinstead,a1s3X000002XShnQAG,,Retirement Living,51.12971,-0.01711
East Molesey,a1s3X000002XLGHQA4,,Retirement Living,51.4013686,-0.36224
Eastland Grange,a1s0O000002z4m8QAA,,Retirement Living Plus,52.9386255,0.4923757
"Eaton, Bluebell Road",a1s0O000002z5AsQAI,,Retirement Living Plus,52.6124099,1.24755
Edgware,a1s0O000002z5AoQAI,,Retirement Living,51.613759,-0.2825087
"Edinburgh, Murrayfd refurb",a1s0O000002z5ArQAI,,Lifestyle Living,55.9469767,-3.245933
Edward House,a1s0O000002z4uoQAA,,Retirement Living Plus,51.7939356,-0.0795973
Edward Place,a1s0O000002z5AnQAI,,Retirement Living Plus,51.3858,-0.4169
Egham,a1s0O000002z5AmQAI,,Retirement Living,51.43061,-0.53434
Elderton Place,a1s3X000002sUXOQA2,,Retirement Living Plus,55.04654,-1.4509
Eleanor House,a1s0O000002z4vWQAQ,,Retirement Living Plus,51.7425545,-0.3228334
Elgar Place,a1s0O000002z4unQAA,,Retirement Living,51.5223,-0.7162
Elizabeth Coxhead Gardens,a1s3X000002XLFTQA4,,Retirement Living,52.54253,-1.39296
Elizabeth Place,a1s0O000002z5AvQAI,,Retirement Living Plus,52.47954,-0.92263
Elliott Garrood Gardens,a1s0O000003CPxSQAW,,Retirement Living,52.45669,1.56965
Emsworth,a1s0O000002z5AzQAI,,Retirement Living,50.84753,-0.95016
Epsom Police Station,a1s3X000002XLGGQA4,,Retirement Living Plus,51.33246,-0.26181
"Evesham, Avon Street",a1s3X000002XUiIQAW,,Retirement Living,52.09462,-1.94827
Exmouth,a1s0O000002z5B2QAI,,Retirement Living Plus,50.628697,-3.383768
Fairway View,a1s0O000002z4mAQAQ,,Retirement Living,53.79531,-0.60687
Farnham House,a1s0O000002z5D5QAI,,Retirement Living,52.74562,-1.17561
Fern Court,a1s0O000002z4vRQAQ,,Retirement Living,51.61954,-3.99286
Flora Grange,a1s0O000002z5BLQAY,,Retirement Living,53.3915,-1.54745
"Fordingbridge, Whitsbury Road",a1s3X000002XVJsQAO,,Retirement Living,50.93769,-1.79622
Foundry Place,a1s0O000003CPxRQAW,,Retirement Living Plus,52.45669,1.56965
Frome,a1s0O000002z5LiQAI,,Retirement Living,51.23012,-2.31923
Garforth,a1s0O000002mVqKQAU,,Retirement Living,53.79244,-1.38248
Garforth Bungalows,a1s0O000002mVqJQAU,,Retirement Living Plus,53.79244,-1.38248
Gerrards Cross,a1s0O000002z57kQAA,,Lifestyle Living,51.59249,-0.55656
Gibson Court,a1s0O000002z56uQAA,,Retirement Living,53.14642,-0.21644
Gidea Park,a1s0O000002z57iQAA,,Retirement Living,51.5892,0.20791
Giffnock,a1s0O000002z57jQAA,,Retirement Living,55.80715,-4.28502
Gilbert Place,a1s0O000002z5BAQAY,,Retirement Living Plus,51.542217,-1.768381
Goldwyn House,a1s0O000002z4uIQAQ,,Retirement Living Plus,51.6638745,-0.2579974
Gordon Court - Bridport,a1s0O000002z56oQAA,,Retirement Living,50.7245902,-2.7564412
Goring by Sea,a1s3X000002XLFwQAO,,Retirement Living,50.81738,-0.43355
Goring by Sea,a1s3X000002XdibQAC,,Retirement Living,50.81738,-0.43355
Gosforth (refurb),a1s0O000002z5O6QAI,,Retirement Living Plus,55.00639,-1.64121
Gosforth LS,a1s0O000002z57gQAA,,Lifestyle Living,55.00045,-1.62336
Great Dunmow,a1s0O000002z57lQAA,,Retirement Living,51.8701869,0.3657346
"Great Sutton, Old Chester Road",a1s0O000002z57mQAA,,Retirement Living,53.2774,-2.93701
Greenhaven,a1s0O000002z5DGQAY,,Retirement Living,50.723938,-1.923166
Guildford,a1s0O000002z57pQAA,,Lifestyle Living,51.238314,-0.555584
Guiseley,a1s3X000002XLGDQA4,,Retirement Living Plus,53.86947,-1.71206
"Hailsham, Market Street",a1s3X000002XShoQAG,,Retirement Living Plus,50.8625,0.2603
Hamilton House,a1s0O000002z5JJQAY,,Retirement Living,51.52635,-2.575577
Hampson Court,a1s0O000002z589QAA,,Retirement Living,53.38301,-2.12107
Hampton Place,a1s0O000002z57rQAA,,Retirement Living,50.9263633,-1.4328938
Hardwick Grange,a1s0O000002z57qQAA,,Retirement Living,53.74819,-2.72939
Harleston,a1s0O000003CPxQQAW,,Retirement Living,52.39737,1.3198
Harvard Place,a1s0O000002z4uuQAA,,Retirement Living Plus,52.17852,-1.70076
Hawkesbury Place,a1s0O000002z4uKQAQ,,Retirement Living Plus,51.93029,-1.72085
Hawkhurst,a1s0O000002z58AQAQ,,Retirement Living,51.0457,0.5086
Haworth Court,a1s0O000002z5AIQAY,,Retirement Living,53.7066315,-2.6393151
Heathlands,a1s0O000002z4uHQAQ,,Retirement Living,51.5537547,-0.6149404
Herriot Gardens,a1s0O000002z5BHQAY,,Retirement Living,54.89803,-1.37339
Hertford,a1s0O000002z583QAA,,Lifestyle Living,51.79444,-0.0813799
Hewson Court,a1s0O000002mVqLQAU,,Retirement Living,54.9698,-2.09362
Highclere House,a1s0O000002z588QAA,,Retirement Living,51.7678541,-0.2145187
Histon Bungalows,a1s3X000002XXLxQAO,,Retirement Living,52.24648,0.10329
Hoddesdon,a1s3X0000048ES3QAM,,Retirement Living,51.76292,-0.0115
Holly Place,a1s0O000002z585QAA,,Retirement Living,51.3282306,-0.4108518
"Home Close, Histon",a1s3X000002XXLwQAO,,Retirement Living Plus,52.24648,0.10329
Homestead Place,a1s0O000002z5BIQAY,,Retirement Living,52.77018,1.51631
"Honeylands, Exeter",a1s0O000002z5B0QAI,,Retirement Living,50.73624,-3.47669
Hook,a1s0O000002z58PQAQ,,Retirement Living Plus,51.2787177,-0.9616863
Hook RL,a1s0O000002z58OQAQ,,Retirement Living,51.2787177,-0.9616863
Hythe (nr Southampton),a1s0O000002z58IQAQ,,Retirement Living,50.871427,-1.401618
Ipswich,a1s0O000002z58JQAQ,,Retirement Living,52.0541,1.15563
Island View,a1s0O000002z576QAA,,Retirement Living,51.2308707,-1.1448936
Jupiter House,a1s0O000002z5EFQAY,,Retirement Living,52.0205073,-0.6920472
Keatley Place,a1s0O000002z4vyQAA,,Retirement Living,51.9909899,-1.70475
Keerford View,a1s0O000002z4vNQAQ,,Retirement Living,54.1236187,-2.773547
"Kendal, Longpool",a1s3X000002XLGVQA4,,Retirement Living,54.3322,-2.73908
"Kettering AL, Rockingham Road",a1s0O000002z5DUQAY,,Retirement Living Plus,52.40947,-0.74731
"Kettering RL, Rockingham Road",a1s0O000002z5DVQAY,,Retirement Living,52.40823,-0.72821
Kings Langley,a1s0O000002z5DWQAY,,Retirement Living,51.72155,-0.45143
Lambrook Court,a1s0O000002z4vKQAQ,,Retirement Living Plus,51.397492,-2.342062
Lancaster Court,a1s0O000002z5ATQAY,,Retirement Living,54.66767,-3.35817
Lancer House,a1s0O000002z5DLQAY,,Retirement Living Plus,51.880396,0.888286
